"year","zone","group","destination","measure","value"
"2008-2009","S01001820","All","All","Count",11
"2008-2009","S01001820","All","Positive","Ratio","90.9"
"2009-2010","S01001820","All","Positive","Ratio",80
"2010-2011","S01001820","All","Positive","Ratio",80
"2007-2008","S01001820","All","Positive","Ratio","72.7"
"2011-2012","S01001820","All","Positive","Ratio","83.3"
"2012-2013","S01001820","All","Positive","Ratio",90
"2010-2011","S01001820","All","Other Known","Ratio",20
"2008-2009","S01001820","All","Other Known","Ratio","9.1"
"2009-2010","S01001820","All","Other Known","Ratio",20
"2011-2012","S01001820","All","Other Known","Ratio","16.7"
"2012-2013","S01001820","All","Other Known","Ratio",10
"2007-2008","S01001820","All","Other Known","Ratio","27.3"
"2010-2011","S01001821","All","All","Count",2
"2010-2011","S01001821","All","Positive","Ratio",100
"2010-2011","S01001821","All","Other Known","Ratio",0
"2008-2009","S01001821","All","Positive","Ratio",100
"2008-2009","S01001821","All","All","Count",6
"2008-2009","S01001821","All","Other Known","Ratio",0
